#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)
1.000000e-07 5.331538e+14 5.839000e-04 5.921000e-09 2.700000e-05
1.000000e-07 5.646873e+14 6.165000e-04 7.478000e-09 3.030000e-05
1.000000e-07 5.981493e+14 6.509000e-04 9.450000e-09 3.400000e-05
1.000000e-07 6.335426e+14 6.871000e-04 1.195000e-08 3.820000e-05
1.000000e-07 6.711269e+14 7.250000e-04 1.513000e-08 4.300000e-05
1.000000e-07 7.109139e+14 7.647000e-04 1.918000e-08 4.830000e-05
1.000000e-07 7.530580e+14 8.060000e-04 2.432000e-08 5.420000e-05
1.000000e-07 7.977446e+14 8.477000e-04 3.091000e-08 6.100000e-05
1.000000e-07 8.449617e+14 8.912000e-04 3.934000e-08 6.860000e-05
1.000000e-07 8.949028e+14 9.357000e-04 5.018000e-08 7.720000e-05
1.000000e-07 9.481102e+14 9.811000e-04 6.413000e-08 8.690000e-05
1.000000e-07 1.004330e+15 1.026000e-03 8.223000e-08 9.800000e-05
1.000000e-07 1.063848e+15 1.071000e-03 1.058000e-07 1.100000e-04
1.000000e-07 1.126616e+15 1.114000e-03 1.367000e-07 1.250000e-04
1.000000e-07 1.193441e+15 1.154000e-03 1.776000e-07 1.410000e-04
1.000000e-07 1.264413e+15 1.135000e-03 2.327000e-07 1.600000e-04
1.000000e-07 1.338957e+15 1.243000e-03 3.099000e-07 1.820000e-04
1.000000e-07 1.418800e+15 1.788000e-03 4.157000e-07 2.080000e-04
1.000000e-07 1.502719e+15 2.535000e-03 5.589000e-07 2.380000e-04
1.000000e-07 1.591255e+15 3.745000e-03 7.624000e-07 2.740000e-04
1.000000e-07 1.686122e+15 5.788000e-03 1.046000e-06 3.160000e-04
1.000000e-07 1.785542e+15 8.429000e-03 1.446000e-06 3.650000e-04
1.000000e-07 1.891435e+15 1.216000e-02 2.080000e-06 4.290000e-04
1.000000e-07 2.003960e+15 2.451000e-02 3.201000e-06 4.860000e-04
1.000000e-07 2.121673e+15 4.420000e-02 3.614000e-06 4.380000e-04
1.000000e-07 2.247319e+15 4.196000e-02 4.229000e-06 5.020000e-04
1.000000e-07 2.381195e+15 4.650000e-02 5.355000e-06 5.550000e-04
1.000000e-07 2.521382e+15 5.832000e-02 7.320000e-06 5.920000e-04
1.000000e-07 2.671946e+15 6.792000e-02 9.320000e-06 6.350000e-04
1.000000e-07 2.830902e+15 8.348000e-02 1.340000e-05 6.710000e-04
1.000000e-07 2.997924e+15 1.075000e-01 1.792000e-05 6.710000e-04
1.000000e-07 3.175431e+15 1.287000e-01 2.301000e-05 6.970000e-04
1.000000e-07 3.363541e+15 1.456000e-01 2.666000e-05 7.480000e-04
1.000000e-07 3.563018e+15 1.575000e-01 3.431000e-05 8.300000e-04
1.000000e-07 3.774297e+15 1.884000e-01 4.784000e-05 8.710000e-04
1.000000e-07 3.997765e+15 2.251000e-01 6.555000e-05 9.150000e-04
1.000000e-07 4.234956e+15 2.490000e-01 8.229000e-05 9.990000e-04
1.000000e-07 4.485897e+15 2.543000e-01 9.678000e-05 1.120000e-03
1.000000e-07 4.751068e+15 2.144000e-01 9.323000e-05 1.290000e-03
1.000000e-07 5.032607e+15 1.335000e-01 5.687000e-05 1.530000e-03
1.000000e-07 5.331538e+15 1.066000e-01 3.620000e-05 1.800000e-03
1.000000e-07 5.646873e+15 9.975000e-02 3.320000e-05 2.060000e-03
1.000000e-07 5.981493e+15 9.525000e-02 3.263000e-05 2.340000e-03
1.000000e-07 6.335426e+15 9.179000e-02 3.337000e-05 2.650000e-03
1.000000e-07 6.711269e+15 8.882000e-02 3.488000e-05 2.990000e-03
1.000000e-07 7.109139e+15 8.598000e-02 3.685000e-05 3.370000e-03
1.000000e-07 7.530580e+15 8.313000e-02 3.916000e-05 3.800000e-03
1.000000e-07 7.977446e+15 8.014000e-02 4.165000e-05 4.280000e-03
1.000000e-07 8.449617e+15 7.701000e-02 4.427000e-05 4.820000e-03
1.000000e-07 8.949028e+15 7.373000e-02 4.690000e-05 5.420000e-03
1.000000e-07 9.481102e+15 7.024000e-02 4.945000e-05 6.110000e-03
1.000000e-07 1.004330e+16 6.668000e-02 5.192000e-05 6.870000e-03
1.000000e-07 1.063848e+16 6.294000e-02 5.411000e-05 7.730000e-03
1.000000e-07 1.126616e+16 5.923000e-02 5.603000e-05 8.700000e-03
1.000000e-07 1.193441e+16 5.543000e-02 5.739000e-05 9.790000e-03
1.000000e-07 1.264413e+16 5.165000e-02 5.778000e-05 1.100000e-02
1.000000e-07 1.338957e+16 4.988000e-02 5.985000e-05 1.240000e-02
1.000000e-07 1.418800e+16 4.721000e-02 6.180000e-05 1.390000e-02
1.000000e-07 1.502719e+16 4.463000e-02 6.190000e-05 1.570000e-02
1.000000e-07 1.591255e+16 4.621000e-02 6.788000e-05 1.770000e-02
1.000000e-07 1.686122e+16 4.355000e-02 7.391000e-05 1.980000e-02
1.000000e-07 1.785542e+16 4.108000e-02 7.732000e-05 2.230000e-02
1.000000e-07 1.891435e+16 3.874000e-02 7.993000e-05 2.510000e-02
1.000000e-07 2.003960e+16 3.647000e-02 8.210000e-05 2.820000e-02
1.000000e-07 2.121673e+16 3.421000e-02 8.302000e-05 3.170000e-02
1.000000e-07 2.247319e+16 3.362000e-02 8.390000e-05 3.570000e-02
1.000000e-07 2.381195e+16 3.278000e-02 9.095000e-05 4.010000e-02
1.000000e-07 2.521382e+16 3.047000e-02 9.490000e-05 4.510000e-02
1.000000e-07 2.671946e+16 2.814000e-02 9.038000e-05 5.080000e-02
1.000000e-07 2.830902e+16 3.399000e-02 9.714000e-05 5.720000e-02
1.000000e-07 2.997924e+16 3.164000e-02 1.220000e-04 6.420000e-02
1.000000e-07 3.175431e+16 2.917000e-02 1.307000e-04 7.230000e-02
1.000000e-07 3.363541e+16 2.677000e-02 1.350000e-04 8.130000e-02
1.000000e-07 3.563018e+16 2.446000e-02 1.369000e-04 9.150000e-02
1.000000e-07 3.774297e+16 2.228000e-02 1.367000e-04 1.030000e-01
1.000000e-07 3.997765e+16 2.025000e-02 1.316000e-04 1.160000e-01
1.000000e-07 4.234956e+16 2.009000e-02 1.413000e-04 1.310000e-01
1.000000e-07 4.485897e+16 1.821000e-02 1.425000e-04 1.470000e-01
1.000000e-07 4.751068e+16 1.648000e-02 1.411000e-04 1.650000e-01
1.000000e-07 5.032607e+16 1.490000e-02 1.385000e-04 1.860000e-01
1.000000e-07 5.331538e+16 1.340000e-02 1.345000e-04 2.090000e-01
1.000000e-07 5.646873e+16 1.205000e-02 1.295000e-04 2.350000e-01
1.000000e-07 5.981493e+16 1.083000e-02 1.237000e-04 2.650000e-01
1.000000e-07 6.335426e+16 9.713000e-03 1.173000e-04 2.970000e-01
1.000000e-07 6.711269e+16 8.692000e-03 1.103000e-04 3.330000e-01
1.000000e-07 7.109139e+16 7.766000e-03 1.029000e-04 3.720000e-01
1.000000e-07 7.530580e+16 6.924000e-03 9.523000e-05 4.140000e-01
1.000000e-07 7.977446e+16 6.160000e-03 8.741000e-05 4.590000e-01
1.000000e-07 8.449617e+16 5.468000e-03 7.953000e-05 5.060000e-01
1.000000e-07 8.949028e+16 4.842000e-03 7.186000e-05 5.540000e-01
1.000000e-07 9.481102e+16 4.281000e-03 6.450000e-05 6.010000e-01
1.000000e-07 1.004330e+17 3.786000e-03 5.770000e-05 6.460000e-01
1.000000e-07 1.063848e+17 3.323000e-03 5.077000e-05 6.860000e-01
1.000000e-07 1.126616e+17 2.898000e-03 4.406000e-05 7.200000e-01
1.000000e-07 1.193441e+17 2.536000e-03 3.656000e-05 7.470000e-01
1.000000e-07 1.264413e+17 2.217000e-03 2.202000e-05 7.670000e-01
1.000000e-07 1.338957e+17 5.255000e-03 3.253000e-05 7.820000e-01
1.000000e-07 1.418800e+17 4.690000e-03 3.400000e-05 7.940000e-01
1.000000e-07 1.502719e+17 4.154000e-03 3.314000e-05 8.060000e-01
1.000000e-07 1.591255e+17 3.660000e-03 3.020000e-05 8.210000e-01
1.000000e-07 1.686122e+17 3.209000e-03 2.612000e-05 8.380000e-01
1.000000e-07 1.785542e+17 2.802000e-03 1.634000e-05 8.560000e-01
1.000000e-07 1.891435e+17 4.486000e-03 2.591000e-05 8.720000e-01
1.000000e-07 2.003960e+17 3.923000e-03 2.438000e-05 8.850000e-01
1.000000e-07 2.121673e+17 3.809000e-03 2.517000e-05 8.940000e-01
1.000000e-07 2.247319e+17 3.337000e-03 2.398000e-05 9.010000e-01
