READ SERR 1
@dist_0.pco
!
0.107772313 6.20380451E-4 0.984351635
0.109020256 6.27564092E-4 0.984832525
0.110282652 6.34830969E-4 0.985299468
0.111559667 6.42181956E-4 0.985752821
0.112851463 6.49618043E-4 0.986192882
0.114158221 6.57140277E-4 0.986620069
0.11548011 6.6474959E-4 0.987034738
0.11681731 6.7244703E-4 0.987437248
0.118169986 6.80233643E-4 0.987827897
0.11953833 6.88110362E-4 0.988207042
0.120922521 6.96078292E-4 0.988574982
0.122322738 7.04138482E-4 0.988932014
0.123739168 7.12292036E-4 0.989278436
0.125172004 7.20540003E-4 0.989614427
0.126621425 7.2888349E-4 0.989940345
0.128087625 7.37323542E-4 0.990256727
0.129570812 7.45861325E-4 0.990563691
0.13107118 7.54498004E-4 0.990861416
0.132588908 7.63234682E-4 0.991150141
0.134124219 7.72072526E-4 0.991430223
0.135677308 7.81012699E-4 0.991701901
0.137248367 7.90056423E-4 0.991965294
0.138837636 7.99204805E-4 0.992220759
0.140445292 8.08459183E-4 0.992468417
0.142071575 8.17820721E-4 0.992708623
0.143716693 8.27290583E-4 0.992941439
0.145380855 8.36870167E-4 0.993167162
0.147064283 8.46560695E-4 0.993385971
0.148767203 8.56363389E-4 0.993598104
0.150489852 8.66279588E-4 0.99380368
0.152232438 8.76310689E-4 0.994002938
0.153995201 8.86457856E-4 0.994196057
0.155778378 8.96722544E-4 0.994381487
0.157582209 9.07106092E-4 0.994561136
0.15940693 9.17609897E-4 0.99473685
0.161252782 9.28235357E-4 0.994907081
0.163119987 9.38983809E-4 0.995072067
0.165008828 9.49856709E-4 0.995231867
0.166919544 9.60855512E-4 0.99538666
0.168852389 9.71981732E-4 0.995536625
0.1708076 9.83236707E-4 0.99567169
0.172785461 9.94622125E-4 0.995802224
0.174786225 1.00613921E-3 0.995938659
0.176810145 1.01778982E-3 0.996070862
0.17885752 1.02957524E-3 0.996198893
0.180928588 1.04149722E-3 0.99632287
0.183023646 1.05355715E-3 0.996442974
0.185142964 1.06575678E-3 0.996559203
0.187286809 1.07809762E-3 0.996671855
0.189455494 1.09058141E-3 0.996780872
0.191649288 1.1032098E-3 0.996886432
0.193868473 1.11598428E-3 0.996988654
0.196113363 1.12890685E-3 0.997087598
0.198384255 1.14197889E-3 0.997183383
0.200681433 1.15520239E-3 0.997276127
0.20300521 1.1685791E-3 0.997365892
0.205355912 1.18211051E-3 0.997452796
0.20773381 1.19579874E-3 0.997536898
0.21013926 1.20964542E-3 0.997618079
0.21257256 1.22365251E-3 0.997696698
0.215034038 1.23782177E-3 0.997772932
0.217524007 1.25215505E-3 0.997846782
0.22004281 1.26665423E-3 0.997918189
0.222590789 1.2813214E-3 0.99798727
0.225168273 1.29615841E-3 0.998054147
0.227775604 1.31116726E-3 0.998118877
0.230413109 1.32634991E-3 0.998181462
0.233081177 1.34170824E-3 0.998242021
0.23578012 1.35724456E-3 0.998299778
0.238510326 1.37296063E-3 0.998355627
0.241272151 1.38885877E-3 0.998410523
0.244065955 1.40494108E-3 0.998463571
0.246892095 1.42120942E-3 0.998514891
0.249750972 1.43766636E-3 0.998562098
0.252642959 1.45431375E-3 0.998607814
0.255568415 1.47115381E-3 0.998654425
0.258527756 1.48818898E-3 0.998699486
0.261521369 1.50542147E-3 0.998743057
0.264549643 1.52285339E-3 0.998785198
0.267612994 1.54048717E-3 0.998825967
0.270711809 1.55832525E-3 0.998865426
0.273846507 1.57636974E-3 0.998903573
0.277017504 1.59462332E-3 0.998940408
0.280225217 1.61308818E-3 0.998976052
0.283470064 1.63176679E-3 0.999010503
0.286752492 1.65066181E-3 0.999043882
0.290072918 1.66977558E-3 0.999027967
0.293431818 1.68911065E-3 0.999013245
0.296829581 1.70866959E-3 0.999045372
