READ SERR 1
@nh_3.pco
!
0.984882653 1.51173202E-2 0.180052102
1.01558864 1.55886374E-2 0.205556884
1.04725194 1.60746481E-2 0.232406199
1.07990241 1.65758114E-2 0.260186642
1.11357081 1.70926005E-2 0.288848281
1.14828885 1.76255014E-2 0.318648279
1.18408942 1.81750171E-2 0.348936856
1.22100616 1.87416635E-2 0.379487693
1.25907373 1.93259791E-2 0.41008389
1.29832828 1.99285094E-2 0.429642379
1.33880651 2.05498263E-2 0.448428482
1.38054693 2.11905129E-2 0.478211105
1.42358863 2.18511764E-2 0.507454097
1.46797216 2.2532437E-2 0.536018074
1.51373959 2.32349355E-2 0.563784242
1.56093383 2.39593387E-2 0.589729786
1.60959947 2.47063246E-2 0.614684939
1.65978241 2.5476601E-2 0.639596939
1.71152997 2.62708925E-2 0.663431287
1.76489079 2.7089946E-2 0.686157763
1.81991529 2.79345382E-2 0.696665406
1.87665522 2.88054608E-2 0.70631516
1.93516421 2.97035351E-2 0.726553977
1.99549735 3.06296106E-2 0.74571532
2.0577116 3.15845609E-2 0.76381129
2.12186551 3.2569278E-2 0.780861437
2.18801928 3.35847028E-2 0.796891749
2.25623584 3.46317813E-2 0.811932862
2.32657909 3.57115045E-2 0.826019526
2.39911556 3.68248932E-2 0.839189231
2.47391343 3.79729904E-2 0.84728229
2.55104327 3.91568877E-2 0.854716837
2.6305778 4.03776914E-2 0.86581111
2.71259212 4.16365564E-2 0.876147151
2.79716349 4.2934671E-2 0.885689974
2.88437128 4.42732573E-2 0.894556344
2.97429824 4.56535779E-2 0.90286082
3.06702876 4.70769331E-2 0.910561979
3.16265035 4.85446639E-2 0.916932106
3.26125312 5.00581525E-2 0.922807753
3.36293006 5.16188294E-2 0.928997099
3.46777701 5.32281622E-2 0.934720516
3.57589293 5.48876747E-2 0.940008938
3.68737936 5.65989204E-2 0.944891751
3.80234194 5.83635196E-2 0.949397027
3.92088866 6.01831377E-2 0.953551173
4.04313135 6.20594844E-2 0.956962287
4.16918516 6.39943257E-2 0.960098207
4.29916906 6.59894943E-2 0.963399351
4.43320513 6.80468678E-2 0.966437638
4.57142067 7.01683834E-2 0.969232678
4.71394491 7.23560452E-2 0.971802711
4.8609128 7.46119097E-2 0.974164844
5.01246262 7.69381076E-2 0.976335049
5.16873789 7.9336822E-2 0.978328109
5.32988501 8.18103328E-2 0.980157793
5.49605608 8.43609571E-2 0.981836975
5.66740847 8.69911015E-2 0.983377457
5.84410238 8.9703247E-2 0.984790325
6.02630568 9.2499949E-2 0.98602885
6.21418953 9.53838453E-2 0.987163365
6.40793133 9.83576551E-2 0.988259315
6.60771275 0.101424173 0.989263535
6.81372356 0.104586303 0.990183473
