E + GRAIN0 -> GRAIN-
C+ + CH5N -> CH4N+ + CH
C+ + CH5N -> CH5N+ + C
C+ + HC5N -> C5H+ + CN
C+ + HC5N -> C5HN+ + C
C+ + C6H2 -> C7+ + H2
C+ + C6H2 -> C7H+ + H
C+ + C7H -> C8+ + H
C+ + CH3C3N -> C2H3+ + C3N
C+ + CH3C3N -> C4H3+ + CN
C+ + HCOOCH3 -> COOCH4+ + C
C+ + C2H5OH -> H3CO+ + C2H3
C+ + C2H5OH -> C2H5O+ + CH
C+ + C2H5OH -> C2H5OH+ + C
C+ + C7H2 -> C8+ + H2
C+ + C7H2 -> C8H+ + H
C+ + C8H -> C9+ + H
C+ + CH3C4H -> C5H3+ + CH
C+ + CH3C4H -> C6H2+ + H2
C+ + CH3C4H -> C6H3+ + H
C+ + CH3OCH3 -> CH3OCH3+ + C
C+ + HC7N -> C7H+ + CN
C+ + C2H6CO -> C2H6CO+ + C
C+ + C8H2 -> C9+ + H2
C+ + C8H2 -> C9H+ + H
C+ + C9H -> C10+ + H
C+ + CH3C5N -> C6H3+ + CN
C+ + C9H2 -> C10+ + H2
C+ + CH3C6H -> C7H3+ + CH
C+ + CH3C6H -> C8H2+ + H2
C+ + CH3C7N -> C8H3+ + CN
C+ + HC9N -> C9H+ + CN
CL+ + H2 -> HCL+ + H
CL+ + O2 -> O2+ + CL
FE+ + NA -> NA+ + FE
F+ + H2 -> HF+ + H
H+ + FE -> FE+ + H
H+ + MG -> MG+ + H
H+ + NA -> NA+ + H
H+ + O -> O+ + H
H+ + P -> P+ + H
H+ + S -> S+ + H
H+ + SI -> SI+ + H
H+ + C2 -> C2+ + H
H+ + CH -> CH+ + H
H+ + CP -> CP+ + H
H+ + CS -> CS+ + H
H+ + HCL -> HCL+ + H
H+ + HS -> S+ + H2
H+ + HS -> HS+ + H
H+ + MGH -> MG+ + H2
H+ + NAH -> NA+ + H2
H+ + NH -> NH+ + H
H+ + NO -> NO+ + H
H+ + NS -> NS+ + H
H+ + O2 -> O2+ + H
H+ + OH -> OH+ + H
H+ + PH -> PH+ + H
H+ + PN -> PN+ + H
H+ + PO -> PO+ + H
H+ + S2 -> S2+ + H
H+ + SIC -> SIC+ + H
H+ + SIH -> SI+ + H2
H+ + SIH -> SIH+ + H
H+ + SIN -> SIN+ + H
H+ + SIO -> SIO+ + H
H+ + SIS -> SIS+ + H
H+ + SO -> SO+ + H
H+ + C2H -> C2+ + H2
H+ + C2H -> C2H+ + H
H+ + C2N -> C2N+ + H
H+ + C2S -> C2S+ + H
H+ + C3 -> C3+ + H
H+ + CCO -> C2O+ + H
H+ + CCP -> CCP+ + H
H+ + CH2 -> CH+ + H2
H+ + CH2 -> CH2+ + H
H+ + CO2 -> HCO+ + O
H+ + H2O -> H2O+ + H
H+ + H2S -> H2S+ + H
H+ + HCN -> HCN+ + H
H+ + HCO -> CO+ + H2
H+ + HCO -> H2+ + CO
H+ + HCO -> HCO+ + H
H+ + HCP -> HCP+ + H
H+ + HCS -> CS+ + H2
H+ + HCSI -> SIC+ + H2
H+ + HCSI -> CHSI+ + H
H+ + HNC -> H+ + HCN
H+ + HNO -> NO+ + H2
H+ + HNSI -> SIN+ + H2
H+ + HNSI -> HNSI+ + H
H+ + HPO -> HPO+ + H
H+ + HS2 -> S2H+ + H
H+ + NAOH -> NA+ + H2O
H+ + NH2 -> NH2+ + H
H+ + OCS -> HS+ + CO
H+ + PH2 -> PH2+ + H
H+ + SIC2 -> SIC2+ + H
H+ + SIH2 -> SIH+ + H2
H+ + SIH2 -> SIH2+ + H
H+ + SINC -> SINC+ + H
H+ + C2H2 -> C2H+ + H2
H+ + C2H2 -> C2H2+ + H
H+ + C3H -> C3+ + H2
H+ + HC3 -> C3+ + H2
H+ + C3H -> C3H+ + H
H+ + HC3 -> C3H+ + H
H+ + C3O -> C3O+ + H
H+ + C3S -> C3S+ + H
H+ + C4 -> C4+ + H
H+ + CH3 -> CH3+ + H
H+ + H2CO -> HCO+ + H2
H+ + H2CO -> H2CO+ + H
H+ + H2CS -> H2CS+ + H
H+ + H2S2 -> H2S2+ + H
