#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)       
1.000000e-07 1.264414e+15 6.065000e-02 1.855000e-06 1.260000e-05 
1.000000e-07 1.338957e+15 9.397000e-02 2.885000e-06 3.530000e-05 
1.000000e-07 1.418800e+15 1.200000e-01 3.306000e-06 6.750000e-05 
1.000000e-07 1.502719e+15 1.001000e-01 2.362000e-06 1.060000e-04 
1.000000e-07 1.591255e+15 6.916000e-02 1.377000e-06 1.500000e-04 
1.000000e-07 1.686122e+15 4.803000e-02 8.512000e-07 2.040000e-04 
1.000000e-07 1.785542e+15 3.527000e-02 6.596000e-07 2.640000e-04 
1.000000e-07 1.891435e+15 2.713000e-02 7.123000e-07 3.260000e-04 
1.000000e-07 2.003960e+15 2.175000e-02 9.981000e-07 3.920000e-04 
1.000000e-07 2.121673e+15 1.894000e-02 1.585000e-06 4.620000e-04 
1.000000e-07 2.247320e+15 1.876000e-02 2.581000e-06 5.440000e-04 
1.000000e-07 2.381195e+15 2.131000e-02 4.270000e-06 6.560000e-04 
1.000000e-07 2.521383e+15 2.770000e-02 7.014000e-06 7.900000e-04 
1.000000e-07 2.671947e+15 3.714000e-02 1.191000e-05 8.850000e-04 
1.000000e-07 2.830901e+15 6.506000e-02 2.119000e-05 6.260000e-04 
1.000000e-07 2.997925e+15 1.044000e-01 3.172000e-05 6.100000e-04 
1.000000e-07 3.175431e+15 1.587000e-01 4.790000e-05 5.390000e-04 
1.000000e-07 3.363542e+15 1.903000e-01 5.690000e-05 5.950000e-04 
1.000000e-07 3.563019e+15 2.187000e-01 7.899000e-05 5.480000e-04 
1.000000e-07 3.774298e+15 2.823000e-01 1.216000e-04 5.390000e-04 
1.000000e-07 3.997766e+15 3.595000e-01 1.696000e-04 6.500000e-04 
1.000000e-07 4.234955e+15 3.844000e-01 1.979000e-04 8.020000e-04 
1.000000e-07 4.485896e+15 3.277000e-01 1.811000e-04 9.950000e-04 
1.000000e-07 4.751069e+15 2.619000e-01 1.487000e-04 1.200000e-03 
1.000000e-07 5.032608e+15 2.263000e-01 1.385000e-04 1.410000e-03 
1.000000e-07 5.331539e+15 1.903000e-01 1.281000e-04 1.640000e-03 
1.000000e-07 5.646872e+15 1.530000e-01 1.115000e-04 1.890000e-03 
1.000000e-07 5.981494e+15 1.272000e-01 9.936000e-05 2.180000e-03 
1.000000e-07 6.335428e+15 1.065000e-01 9.018000e-05 2.490000e-03 
1.000000e-07 6.711271e+15 8.921000e-02 8.060000e-05 2.840000e-03 
1.000000e-07 7.109141e+15 7.434000e-02 6.940000e-05 3.240000e-03 
1.000000e-07 7.530582e+15 6.937000e-02 6.145000e-05 3.690000e-03 
1.000000e-07 7.977447e+15 7.076000e-02 5.991000e-05 4.180000e-03 
1.000000e-07 8.449618e+15 7.310000e-02 7.250000e-05 4.700000e-03 
1.000000e-07 8.949029e+15 6.594000e-02 7.576000e-05 5.300000e-03 
1.000000e-07 9.481102e+15 5.926000e-02 7.739000e-05 5.980000e-03 
1.000000e-07 1.004330e+16 5.307000e-02 7.832000e-05 6.740000e-03 
1.000000e-07 1.063848e+16 4.740000e-02 7.875000e-05 7.600000e-03 
1.000000e-07 1.126616e+16 4.232000e-02 7.904000e-05 8.570000e-03 
1.000000e-07 1.193441e+16 3.770000e-02 7.906000e-05 9.670000e-03 
1.000000e-07 1.264414e+16 3.354000e-02 7.893000e-05 1.090000e-02 
1.000000e-07 1.338957e+16 2.981000e-02 7.873000e-05 1.230000e-02 
1.000000e-07 1.418800e+16 2.649000e-02 7.841000e-05 1.380000e-02 
